,Name,Handedness,Height,Weight,Batting Average (Hits/at bat),HR,BMI,State,Ave
303,Rick Sweet,Both Handed,73,200,0.234,6,26.4419915045668,Overweight,0.20~0.30
304,Thurman Munson,Right Handed,71,190,0.292,113,26.5550295757676,Overweight,0.20~0.30
305,Rick Monday,Left Handed,75,193,0.264,241,24.1737857213088,Normal,0.20~0.30
306,Mike Sadek,Right Handed,69,165,0.226,5,24.4171880908349,Normal,0.20~0.30
307,Mark Belanger,Right Handed,73,170,0.228,20,22.4756927788818,Normal,0.20~0.30
308,Ron Hunt,Right Handed,72,186,0.273,39,25.278880524091,Overweight,0.20~0.30
309,Joe Keough,Left Handed,72,185,0.246,9,25.1429725642841,Overweight,0.20~0.30
310,Butch Edge,Right Handed,75,203,0,0,25.4263134788896,Overweight,0.20~0.30
311,Vic Correll,Right Handed,70,185,0.229,29,26.6002387292344,Overweight,0.20~0.30
312,Jackie Hernandez,Right Handed,71,165,0.208,12,23.0609467368508,Normal,0.20~0.30
313,Tony Solaita,Left Handed,72,210,0.255,50,28.5406715594576,Overweight,0.20~0.30
314,U L Washington,Both Handed,71,175,0.251,27,24.4585798724175,Normal,0.20~0.30
315,Gary Mielke,Right Handed,75,185,0,0,23.1717635152442,Normal,0.20~0.30
316,Rick Henninger,Right Handed,78,225,0,0,26.055727205591,Overweight,0.20~0.30
317,Joe Foy,Right Handed,72,215,0.248,58,29.2202113584923,Overweight,0.20~0.30
318,Ed Goodson,Left Handed,75,180,0.26,30,22.5454996364538,Normal,0.20~0.30
319,Mark Brown,Both Handed,74,190,0,0,24.4455632015056,Normal,0.20~0.30
320,Mickey Klutts,Right Handed,71,170,0.241,14,23.7597633046342,Normal,0.20~0.30
321,Leroy Stanton,Right Handed,73,195,0.244,77,25.7809417169526,Overweight,0.20~0.30
322,Rafael Vasquez,Right Handed,72,160,0,0,21.7452735691105,Normal,0.20~0.30
323,Len Whitehouse,Left Handed,71,175,0,0,24.4585798724175,Normal,0.20~0.30
324,Danny Ainge,Right Handed,76,175,0.22,2,21.3462086455777,Normal,0.20~0.30
325,Adolfo Phillips,Right Handed,73,175,0.247,59,23.1367425664959,Normal,0.20~0.30
326,Marv Breeding,Right Handed,72,175,0.25,7,23.7838929662147,Normal,0.20~0.30
327,Steve Adkins,Right Handed,78,210,0,0,24.3186787252183,Normal,0.20~0.30
328,Dick McAuliffe,Left Handed,71,176,0.247,197,24.5983431859742,Normal,0.20~0.30
329,Joe Horlen,Right Handed,72,170,0.134,0,23.1043531671799,Normal,0.20~0.30
330,Glenn Burke,Right Handed,72,195,0.237,2,26.5020521623535,Overweight,0.20~0.30
331,Tony Mack,Right Handed,70,177,0,0,25.4499581355378,Overweight,0.20~0.30
332,Terry Humphrey,Right Handed,75,185,0.211,6,23.1717635152442,Normal,0.20~0.30
333,Bill Moran,Right Handed,76,210,0,0,25.6154503746932,Overweight,0.20~0.30
334,Enzo Hernandez,Right Handed,68,155,0.224,2,23.616947202438,Normal,0.20~0.30
335,Cesar Gutierrez,Right Handed,69,155,0.235,0,22.9373585095722,Normal,0.20~0.30
336,Coco Laboy,Right Handed,70,165,0.233,28,23.7245372449929,Normal,0.20~0.30
337,Ted Kubiak,Both Handed,72,175,0.231,13,23.7838929662147,Normal,0.20~0.30
338,Jim Morrison,Right Handed,71,175,0.26,112,24.4585798724175,Normal,0.20~0.30
339,Tom Gilles,Right Handed,73,185,0,0,24.4588421417243,Normal,0.20~0.30
340,Bobby Knoop,Right Handed,73,170,0.236,56,22.4756927788818,Normal,0.20~0.30
341,Bobby Brown,Both Handed,74,190,0.245,26,24.4455632015056,Normal,0.20~0.30
342,Tom Hutton,Left Handed,71,180,0.248,22,25.1573964402009,Overweight,0.20~0.30
343,Ron Hodges,Left Handed,73,185,0.24,19,24.4588421417243,Normal,0.20~0.30
344,Rich Chiles,Left Handed,71,170,0.254,6,23.7597633046342,Normal,0.20~0.30
345,Tom Paciorek,Right Handed,76,215,0.282,86,26.2253420502812,Overweight,0.20~0.30
346,Gary Woods,Right Handed,74,185,0.243,13,23.8022589067291,Normal,0.20~0.30
347,Bob Montgomery,Right Handed,73,195,0.258,23,25.7809417169526,Overweight,0.20~0.30
348,Jeff Burroughs,Right Handed,73,200,0.261,240,26.4419915045668,Overweight,0.20~0.30
349,Rusty Staub,Left Handed,74,190,0.279,292,24.4455632015056,Normal,0.20~0.30
350,Jim Norris,Left Handed,70,175,0.264,7,25.1623879871136,Overweight,0.20~0.30
351,Oscar Gamble,Left Handed,71,160,0.265,200,22.3621301690675,Normal,0.20~0.30
352,Bob Kammeyer,Right Handed,76,210,0,0,25.6154503746932,Overweight,0.20~0.30
353,George Vukovich,Left Handed,72,198,0.268,27,26.9097760417743,Overweight,0.20~0.30
354,Joe Pactwa,Left Handed,71,185,0,0,25.8562130079842,Overweight,0.20~0.30
355,Craig Reynolds,Left Handed,73,175,0.256,42,23.1367425664959,Normal,0.20~0.30
356,Paul Blair,Right Handed,72,168,0.25,134,22.8325372475661,Normal,0.20~0.30
357,Al Cowens,Right Handed,73,197,0.27,108,26.0453616319983,Overweight,0.20~0.30
358,Al Oliver,Left Handed,72,195,0.303,219,26.5020521623535,Overweight,Above 0.30
359,Dave Hilton,Right Handed,71,191,0.213,6,26.6947928893243,Overweight,0.20~0.30
360,Luis Alvarado,Right Handed,69,162,0.214,5,23.9732392164561,Normal,0.20~0.30
361,Larry Parrish,Right Handed,75,190,0.263,256,23.7980273940346,Normal,0.20~0.30
362,Woodie Fryman,Right Handed,75,197,0.138,2,24.6747968243411,Normal,0.20~0.30
363,Bob Randall,Right Handed,74,175,0.257,1,22.5156503171762,Normal,0.20~0.30
364,Jim Pankovits,Right Handed,70,170,0.25,9,24.4434626160532,Normal,0.20~0.30
365,Sherman Corbett,Left Handed,76,205,0,0,25.0055586991053,Overweight,0.20~0.30
366,Carmen Fanzone,Right Handed,72,200,0.224,20,27.1815919613882,Overweight,0.20~0.30
367,Gary Allenson,Right Handed,71,185,0.221,19,25.8562130079842,Overweight,0.20~0.30
368,Milt May,Left Handed,72,190,0.263,77,25.8225123633188,Overweight,0.20~0.30
369,Mike Vail,Right Handed,73,180,0.279,34,23.7977923541101,Normal,0.20~0.30
370,Nick Esasky,Right Handed,75,200,0.25,122,25.0505551516153,Overweight,0.20~0.30
371,Jim Nettles,Left Handed,72,186,0.22,16,25.278880524091,Overweight,0.20~0.30
372,Lafayette Currence,Both Handed,71,175,0,0,24.4585798724175,Normal,0.20~0.30
373,Chris Cannizzaro,Right Handed,72,190,0.235,18,25.8225123633188,Overweight,0.20~0.30
374,Larry Biittner,Left Handed,74,205,0.273,29,26.375476085835,Overweight,0.20~0.30
375,John Pawlowski,Right Handed,74,175,0,0,22.5156503171762,Normal,0.20~0.30
376,Mel Stottlemyre,Right Handed,73,178,0.16,7,23.5333724390644,Normal,0.20~0.30
377,Jack Hardy,Right Handed,74,175,0,0,22.5156503171762,Normal,0.20~0.30
378,Ron Musselman,Right Handed,74,185,0,0,23.8022589067291,Normal,0.20~0.30
379,Roy Smalley,Both Handed,73,185,0.257,163,24.4588421417243,Normal,0.20~0.30
380,Tony Chevez,Right Handed,71,177,0,0,24.7381064995309,Normal,0.20~0.30
381,Andy Messersmith,Right Handed,73,200,0.17,5,26.4419915045668,Overweight,0.20~0.30
382,Richie Zisk,Right Handed,73,200,0.287,207,26.4419915045668,Overweight,0.20~0.30
383,Dave Chalk,Right Handed,70,175,0.252,15,25.1623879871136,Overweight,0.20~0.30
384,Don Baylor,Right Handed,73,190,0.26,338,25.1198919293384,Overweight,0.20~0.30
385,John Vukovich,Right Handed,73,187,0.161,6,24.7232620567699,Normal,0.20~0.30
386,Danny Thompson,Right Handed,72,183,0.248,15,24.8711566446702,Normal,0.20~0.30
387,Joe Simpson,Left Handed,75,175,0.242,9,21.9192357576634,Normal,0.20~0.30
388,Bill Fahey,Left Handed,72,200,0.241,7,27.1815919613882,Overweight,0.20~0.30
389,Doug Camilli,Right Handed,71,195,0.199,18,27.253846143551,Overweight,0.20~0.30
390,Bernie Allen,Left Handed,72,175,0.239,73,23.7838929662147,Normal,0.20~0.30
391,Bruce Bochy,Right Handed,75,205,0.239,26,25.6768190304057,Overweight,0.20~0.30
392,Gary Ignasiak,Right Handed,71,185,0,0,25.8562130079842,Overweight,0.20~0.30
393,Claudell Washington,Left Handed,72,190,0.278,164,25.8225123633188,Overweight,0.20~0.30
394,John Donaldson,Left Handed,71,160,0.238,4,22.3621301690675,Normal,0.20~0.30
395,Mike Smithson,Left Handed,80,215,0,0,23.6683712003788,Normal,0.20~0.30
396,John Mayberry,Left Handed,75,215,0.253,255,26.9293467879865,Overweight,0.20~0.30
397,Ken Reitz,Right Handed,72,180,0.26,68,24.4634327652494,Normal,0.20~0.30
398,Amos Otis,Right Handed,71,165,0.277,193,23.0609467368508,Normal,0.20~0.30
399,Gene Alley,Right Handed,70,160,0.254,55,23.0056118739325,Normal,0.20~0.30
400,Ted Sizemore,Right Handed,70,165,0.262,23,23.7245372449929,Normal,0.20~0.30
401,Dan Briggs,Left Handed,72,180,0.195,12,24.4634327652494,Normal,0.20~0.30
402,Joe Skalski,Right Handed,75,190,0,0,23.7980273940346,Normal,0.20~0.30
403,Doug Flynn,Right Handed,71,165,0.238,7,23.0609467368508,Normal,0.20~0.30
404,Bert Bradley,Both Handed,73,190,0,0,25.1198919293384,Overweight,0.20~0.30
405,Ken Holtzman,Right Handed,74,175,0.163,2,22.5156503171762,Normal,0.20~0.30
406,Pete Ward,Left Handed,73,185,0.254,98,24.4588421417243,Normal,0.20~0.30
407,Kevin Bell,Right Handed,72,195,0.222,13,26.5020521623535,Overweight,0.20~0.30
408,Tom Nieto,Right Handed,73,193,0.205,5,25.5165218019069,Overweight,0.20~0.30
409,Duke Sims,Left Handed,74,197,0.239,100,25.3461892141926,Overweight,0.20~0.30
410,Larvell Blanks,Right Handed,68,167,0.253,20,25.4453560181106,Overweight,0.20~0.30
411,Francisco Barrios,Right Handed,71,155,0,0,21.6633136012841,Normal,0.20~0.30
412,Mike Davis,Left Handed,74,175,0.259,91,22.5156503171762,Normal,0.20~0.30
413,Jerry Reuss,Left Handed,77,200,0.167,1,23.7661279689385,Normal,0.20~0.30
414,Steve Yeager,Right Handed,72,190,0.228,102,25.8225123633188,Overweight,0.20~0.30
415,Danny Goodwin,Left Handed,73,195,0.236,13,25.7809417169526,Overweight,0.20~0.30
416,Bud Harrelson,Both Handed,71,160,0.236,7,22.3621301690675,Normal,0.20~0.30
417,Bob Knepper,Left Handed,75,195,0.137,6,24.424291272825,Normal,0.20~0.30
418,Mickey Rivers,Left Handed,70,165,0.295,61,23.7245372449929,Normal,0.20~0.30
419,Jim Northrup,Left Handed,75,190,0.267,153,23.7980273940346,Normal,0.20~0.30
420,John Hale,Left Handed,74,195,0.201,14,25.088867496282,Overweight,0.20~0.30
421,Reggie Ritter,Left Handed,74,195,0,0,25.088867496282,Overweight,0.20~0.30
422,Pedro Garcia,Right Handed,70,175,0.22,37,25.1623879871136,Overweight,0.20~0.30
423,Carl Yastrzemski,Left Handed,71,175,0.285,452,24.4585798724175,Normal,0.20~0.30
424,Bob Babcock,Right Handed,77,210,0,0,24.9544343673854,Normal,0.20~0.30
425,Craig Eaton,Right Handed,71,175,0,0,24.4585798724175,Normal,0.20~0.30
426,Derrel Thomas,Both Handed,72,160,0.249,43,21.7452735691105,Normal,0.20~0.30
427,Art Howe,Right Handed,74,190,0.26,43,24.4455632015056,Normal,0.20~0.30
428,Ike Brown,Right Handed,72,190,0.256,20,25.8225123633188,Overweight,0.20~0.30
429,Howie Goss,Right Handed,76,204,0.216,11,24.8835803639877,Normal,0.20~0.30
430,Glenn Borgmann,Right Handed,76,210,0.229,16,25.6154503746932,Overweight,0.20~0.30
431,Lamar Johnson,Right Handed,74,215,0.287,64,27.6620846753879,Overweight,0.20~0.30
432,Julio Gonzalez,Right Handed,71,162,0.235,4,22.6416567961808,Normal,0.20~0.30
433,Bobby Klaus,Right Handed,70,170,0.208,6,24.4434626160532,Normal,0.20~0.30
434,Manny Sanguillen,Right Handed,72,193,0.296,65,26.2302362427396,Overweight,0.20~0.30
435,Gates Brown,Left Handed,71,220,0.257,84,30.7479289824678,Overweight,0.20~0.30
436,Johnny Ray,Both Handed,71,170,0.29,53,23.7597633046342,Normal,0.20~0.30
437,Jesus Alou,Right Handed,74,190,0.28,32,24.4455632015056,Normal,0.20~0.30
438,Ken Landreaux,Left Handed,70,165,0.268,91,23.7245372449929,Normal,0.20~0.30
439,Enos Cabell,Right Handed,76,170,0.277,60,20.7363169699898,Normal,0.20~0.30
440,Roy Branch,Right Handed,72,175,0,0,23.7838929662147,Normal,0.20~0.30
441,Billy North,Both Handed,71,185,0.261,20,25.8562130079842,Overweight,0.20~0.30
442,Juan Beniquez,Right Handed,71,150,0.274,79,20.9644970335007,Normal,0.20~0.30
443,Frank Fernandez,Right Handed,72,185,0.199,39,25.1429725642841,Overweight,0.20~0.30
444,Bombo Rivera,Right Handed,70,187,0.265,10,26.8878088776586,Overweight,0.20~0.30
445,Steve Brye,Right Handed,72,190,0.258,30,25.8225123633188,Overweight,0.20~0.30
446,Ron Jackson,Right Handed,72,200,0.259,56,27.1815919613882,Overweight,0.20~0.30
447,Roger Metzger,Both Handed,72,165,0.231,5,22.4248133681452,Normal,0.20~0.30
448,Rufino Linares,Right Handed,72,170,0.27,11,23.1043531671799,Normal,0.20~0.30
449,Ray Webster,Left Handed,72,185,0.244,17,25.1429725642841,Overweight,0.20~0.30
450,Bob Kearney,Right Handed,72,190,0.233,27,25.8225123633188,Overweight,0.20~0.30
451,Fergie Jenkins,Right Handed,77,205,0.165,13,24.360281168162,Normal,0.20~0.30
452,Dick Dietz,Right Handed,73,195,0.261,66,25.7809417169526,Overweight,0.20~0.30
453,Ted Cox,Right Handed,75,195,0.245,10,24.424291272825,Normal,0.20~0.30
454,Bobby Mitchell,Left Handed,70,170,0.243,3,24.4434626160532,Normal,0.20~0.30
455,Bobby Mitchell,Right Handed,75,185,0.235,21,23.1717635152442,Normal,0.20~0.30
456,Barry Evans,Right Handed,73,180,0.251,2,23.7977923541101,Normal,0.20~0.30
457,Mickey Brantley,Right Handed,70,180,0.259,32,25.881313358174,Overweight,0.20~0.30
458,Al Gallagher,Right Handed,72,180,0.263,11,24.4634327652494,Normal,0.20~0.30
459,Rob Woodward,Right Handed,75,185,0,0,23.1717635152442,Normal,0.20~0.30
460,Hector Cruz,Right Handed,71,170,0.225,39,23.7597633046342,Normal,0.20~0.30
461,Fred Norman,Both Handed,68,155,0.125,0,23.616947202438,Normal,0.20~0.30
462,Woody Woodward,Right Handed,74,180,0.236,1,23.1589546119526,Normal,0.20~0.30
463,Ted Martinez,Right Handed,72,165,0.24,7,22.4248133681452,Normal,0.20~0.30
464,Jim Anderson,Right Handed,72,170,0.218,13,23.1043531671799,Normal,0.20~0.30
465,Lenn Sakata,Right Handed,69,160,0.23,25,23.6772733002035,Normal,0.20~0.30
466,Dave Duncan,Right Handed,74,190,0.214,109,24.4455632015056,Normal,0.20~0.30
467,Randy Jones,Right Handed,72,178,0.132,0,24.1916168456355,Normal,0.20~0.30
468,Dick Billings,Right Handed,73,195,0.227,16,25.7809417169526,Overweight,0.20~0.30
469,Bob Veselic,Right Handed,72,175,0,0,23.7838929662147,Normal,0.20~0.30
470,Bruce Bochte,Left Handed,75,195,0.282,100,24.424291272825,Normal,0.20~0.30
471,Bernie Carbo,Left Handed,71,173,0.264,96,24.1790532453042,Normal,0.20~0.30
472,Vic Davalillo,Left Handed,67,150,0.279,36,23.5424436502288,Normal,0.20~0.30
473,Burt Hooton,Right Handed,73,210,0.123,4,27.7640910797951,Overweight,0.20~0.30
474,Chuck Hockenbery,Both Handed,73,195,0,0,25.7809417169526,Overweight,0.20~0.30
475,Bob Ferris,Right Handed,78,225,0,0,26.055727205591,Overweight,0.20~0.30
476,Fernando Gonzalez,Right Handed,70,165,0.235,17,23.7245372449929,Normal,0.20~0.30
477,Jim Sundberg,Right Handed,72,190,0.248,95,25.8225123633188,Overweight,0.20~0.30
478,Andy Kosco,Right Handed,75,205,0.236,73,25.6768190304057,Overweight,0.20~0.30
479,Steve Huntz,Both Handed,73,204,0.206,16,26.9708313346581,Overweight,0.20~0.30
480,Gary Wheelock,Right Handed,75,205,0,0,25.6768190304057,Overweight,0.20~0.30
481,Lenny Faedo,Right Handed,72,170,0.251,5,23.1043531671799,Normal,0.20~0.30
482,John Lowenstein,Left Handed,72,175,0.253,116,23.7838929662147,Normal,0.20~0.30
483,Don Kessinger,Both Handed,73,170,0.252,14,22.4756927788818,Normal,0.20~0.30
484,Joe Hague,Left Handed,72,195,0.239,40,26.5020521623535,Overweight,0.20~0.30
485,Bake McBride,Left Handed,74,190,0.299,63,24.4455632015056,Normal,0.20~0.30
486,Dick Davis,Right Handed,75,190,0.265,27,23.7980273940346,Normal,0.20~0.30
487,Richie Scheinblum,Both Handed,73,180,0.263,13,23.7977923541101,Normal,0.20~0.30
488,Ed Herrmann,Left Handed,73,195,0.24,80,25.7809417169526,Overweight,0.20~0.30
489,Mike Rochford,Left Handed,76,205,0,0,25.0055586991053,Overweight,0.20~0.30
490,Jeff Schneider,Both Handed,75,195,0,0,24.424291272825,Normal,0.20~0.30
491,Bob Molinaro,Left Handed,72,190,0.264,14,25.8225123633188,Overweight,0.20~0.30
492,Mike Hegan,Left Handed,73,188,0.242,53,24.8554720142928,Normal,0.20~0.30
493,Mike Diaz,Right Handed,74,195,0.247,31,25.088867496282,Overweight,0.20~0.30
494,Tim Foli,Right Handed,72,179,0.251,25,24.3275248054424,Normal,0.20~0.30
495,Alan Knicely,Right Handed,72,190,0.213,12,25.8225123633188,Overweight,0.20~0.30
496,Tim Laudner,Right Handed,75,212,0.225,77,26.5535884607123,Overweight,0.20~0.30
497,Jose Morales,Right Handed,71,187,0.287,26,26.1357396350976,Overweight,0.20~0.30
498,Luis Encarnacion,Right Handed,70,178,0,0,25.5937432097499,Overweight,0.20~0.30
499,Rick Kreuger,Right Handed,74,185,0,0,23.8022589067291,Normal,0.20~0.30
500,Juan Marichal,Right Handed,72,185,0.165,4,25.1429725642841,Overweight,0.20~0.30
501,Vida Blue,Both Handed,72,189,0.104,4,25.6866044035118,Overweight,0.20~0.30
502,Angel Moreno,Left Handed,69,165,0,0,24.4171880908349,Normal,0.20~0.30
503,Roger Weaver,Right Handed,75,190,0,0,23.7980273940346,Normal,0.20~0.30
504,Stan Papi,Right Handed,72,170,0.218,7,23.1043531671799,Normal,0.20~0.30
505,Rob Wilfong,Left Handed,73,180,0.248,39,23.7977923541101,Normal,0.20~0.30
506,Chris Knapp,Right Handed,77,195,0,0,23.171974769715,Normal,0.20~0.30
507,Steve Henderson,Right Handed,74,190,0.28,68,24.4455632015056,Normal,0.20~0.30
508,Rob Picciolo,Right Handed,74,185,0.234,17,23.8022589067291,Normal,0.20~0.30
509,Don Welchel,Right Handed,76,205,0,0,25.0055586991053,Overweight,0.20~0.30
510,Randy Wiles,Left Handed,73,185,0,0,24.4588421417243,Normal,0.20~0.30
511,Roberto Pena,Right Handed,68,170,0.245,13,25.9024582220287,Overweight,0.20~0.30
512,Bob Dernier,Right Handed,72,160,0.255,23,21.7452735691105,Normal,0.20~0.30
513,Bill Melton,Right Handed,74,200,0.253,160,25.7321717910585,Overweight,0.20~0.30
514,Albert Hall,Both Handed,71,155,0.251,5,21.6633136012841,Normal,0.20~0.30
515,Barbaro Garbey,Right Handed,70,170,0.267,11,24.4434626160532,Normal,0.20~0.30
516,John Milner,Left Handed,72,185,0.249,131,25.1429725642841,Overweight,0.20~0.30
517,Rich Reese,Left Handed,75,185,0.253,52,23.1717635152442,Normal,0.20~0.30
518,Chris Bando,Both Handed,72,195,0.227,27,26.5020521623535,Overweight,0.20~0.30
519,Bill Buckner,Left Handed,72,185,0.289,174,25.1429725642841,Overweight,0.20~0.30
520,Jack Hiatt,Right Handed,74,190,0.251,22,24.4455632015056,Normal,0.20~0.30
521,Nelson Mathews,Right Handed,76,195,0.223,22,23.7857753479294,Normal,0.20~0.30
522,Larry Lintz,Both Handed,69,150,0.227,0,22.1974437189408,Normal,0.20~0.30
523,Ron Theobald,Right Handed,68,165,0.248,2,25.1406212154985,Overweight,0.20~0.30
524,Dewey Robinson,Right Handed,72,180,0,0,24.4634327652494,Normal,0.20~0.30
525,Rafael Santana,Right Handed,73,165,0.246,13,21.8146429912676,Normal,0.20~0.30
526,Jerry Hairston,Both Handed,70,170,0.258,30,24.4434626160532,Normal,0.20~0.30
527,Tony Arnold,Right Handed,71,170,0,0,23.7597633046342,Normal,0.20~0.30
528,Jeff Schattinger,Left Handed,77,200,0,0,23.7661279689385,Normal,0.20~0.30
529,Ike Brookens,Right Handed,77,170,0,0,20.2012087735977,Normal,0.20~0.30
530,Tommie Aaron,Right Handed,75,190,0.229,13,23.7980273940346,Normal,0.20~0.30
531,Steve Dillard,Right Handed,73,180,0.243,13,23.7977923541101,Normal,0.20~0.30
532,Win Remmerswaal,Right Handed,74,160,0,0,20.5857374328468,Normal,0.20~0.30
533,Jeff Peterek,Right Handed,74,195,0,0,25.088867496282,Overweight,0.20~0.30
534,George Scott,Right Handed,74,200,0.268,271,25.7321717910585,Overweight,0.20~0.30
535,Jeff Shaver,Right Handed,75,195,0,0,24.424291272825,Normal,0.20~0.30
536,Ken Walters,Right Handed,73,180,0.231,11,23.7977923541101,Normal,0.20~0.30
537,Gorman Thomas,Right Handed,74,210,0.225,268,27.0187803806114,Overweight,0.20~0.30
538,Paul Dade,Right Handed,73,185,0.27,10,24.4588421417243,Normal,0.20~0.30
539,Darrell Porter,Left Handed,72,193,0.247,188,26.2302362427396,Overweight,0.20~0.30
540,Tim Johnson,Left Handed,73,170,0.223,0,22.4756927788818,Normal,0.20~0.30
541,Fred Stanley,Right Handed,70,165,0.216,10,23.7245372449929,Normal,0.20~0.30
542,Larry Bowa,Both Handed,70,155,0.26,15,22.2866865028721,Normal,0.20~0.30
543,Tim Corcoran,Left Handed,71,175,0.27,12,24.4585798724175,Normal,0.20~0.30
544,Jim Spencer,Left Handed,74,195,0.25,146,25.088867496282,Overweight,0.20~0.30
545,Pete LaCock,Left Handed,74,200,0.257,27,25.7321717910585,Overweight,0.20~0.30
546,Carl Morton,Right Handed,72,200,0.156,7,27.1815919613882,Overweight,0.20~0.30
547,Gary Gray,Right Handed,72,187,0.24,24,25.4147884838979,Overweight,0.20~0.30
548,Matty Alou,Left Handed,69,160,0.307,31,23.6772733002035,Normal,Above 0.30
549,Pete Filson,Both Handed,74,195,0,0,25.088867496282,Overweight,0.20~0.30
550,Jim Dwyer,Left Handed,70,165,0.26,77,23.7245372449929,Normal,0.20~0.30
551,Dalton Jones,Left Handed,73,180,0.235,41,23.7977923541101,Normal,0.20~0.30
552,Rennie Stennett,Right Handed,71,160,0.274,41,22.3621301690675,Normal,0.20~0.30
553,Jim Gideon,Right Handed,75,190,0,0,23.7980273940346,Normal,0.20~0.30
554,Jerry May,Right Handed,74,190,0.234,15,24.4455632015056,Normal,0.20~0.30
555,Rich McKinney,Right Handed,71,185,0.225,20,25.8562130079842,Overweight,0.20~0.30
556,Clint Hurdle,Left Handed,75,195,0.259,32,24.424291272825,Normal,0.20~0.30
557,Mike Andrews,Right Handed,75,195,0.258,66,24.424291272825,Normal,0.20~0.30
558,Bobby Clark,Right Handed,72,190,0.239,19,25.8225123633188,Overweight,0.20~0.30
559,Jeff Twitty,Left Handed,74,185,0,0,23.8022589067291,Normal,0.20~0.30
560,Cliff Johnson,Right Handed,76,215,0.258,196,26.2253420502812,Overweight,0.20~0.30
561,Steve Cummings,Both Handed,74,200,0,0,25.7321717910585,Overweight,0.20~0.30
562,Donn Clendenon,Right Handed,76,209,0.274,159,25.4934720395756,Overweight,0.20~0.30
563,Charlie James,Right Handed,73,195,0.255,29,25.7809417169526,Overweight,0.20~0.30
564,Bob Horner,Right Handed,73,195,0.277,218,25.7809417169526,Overweight,0.20~0.30
565,Tom Veryzer,Right Handed,73,175,0.241,14,23.1367425664959,Normal,0.20~0.30
566,Jose Cecena,Right Handed,71,180,0,0,25.1573964402009,Overweight,0.20~0.30
567,George Smith,Right Handed,70,170,0.205,9,24.4434626160532,Normal,0.20~0.30
568,Jim Essian,Right Handed,74,195,0.244,33,25.088867496282,Overweight,0.20~0.30
569,Onix Concepcion,Right Handed,66,160,0.239,3,25.8786726772886,Overweight,0.20~0.30
570,Boots Day,Left Handed,69,160,0.256,8,23.6772733002035,Normal,0.20~0.30
571,Brian Giles,Right Handed,73,165,0.228,10,21.8146429912676,Normal,0.20~0.30
572,Garry Maddox,Right Handed,75,175,0.285,117,21.9192357576634,Normal,0.20~0.30
573,Alex Trevino,Right Handed,70,165,0.249,23,23.7245372449929,Normal,0.20~0.30
574,Jim Price,Right Handed,72,192,0.214,18,26.0943282829326,Overweight,0.20~0.30
575,Felix Millan,Right Handed,71,172,0.279,22,24.0392899317475,Normal,0.20~0.30
576,Steve Garvey,Right Handed,70,192,0.294,272,27.606734248719,Overweight,0.20~0.30
577,Don Mincher,Left Handed,75,205,0.249,200,25.6768190304057,Overweight,0.20~0.30
578,Greg Erardi,Right Handed,73,190,0,0,25.1198919293384,Overweight,0.20~0.30
579,Jim Farr,Right Handed,73,195,0,0,25.7809417169526,Overweight,0.20~0.30
580,Tony Cloninger,Right Handed,72,210,0.192,11,28.5406715594576,Overweight,0.20~0.30
581,Jim Gosger,Left Handed,71,185,0.226,30,25.8562130079842,Overweight,0.20~0.30
582,Chuck Harrison,Right Handed,70,185,0.238,17,26.6002387292344,Overweight,0.20~0.30
583,Mike Ivie,Right Handed,75,205,0.269,81,25.6768190304057,Overweight,0.20~0.30
584,Frank Dimichele,Right Handed,75,205,0,0,25.6768190304057,Overweight,0.20~0.30
585,Bob Veale,Both Handed,78,212,0.114,0,24.550285189268,Normal,0.20~0.30
586,Marvell Wynne,Left Handed,71,175,0.247,40,24.4585798724175,Normal,0.20~0.30
587,Dusty Baker,Right Handed,74,183,0.278,242,23.5449371888185,Normal,0.20~0.30
588,Tucker Ashford,Right Handed,73,195,0.218,6,25.7809417169526,Overweight,0.20~0.30
589,Ned Yost,Right Handed,73,190,0.212,16,25.1198919293384,Overweight,0.20~0.30
590,Bob Stinson,Both Handed,71,180,0.25,33,25.1573964402009,Overweight,0.20~0.30
591,Mike Warren,Right Handed,73,175,0,0,23.1367425664959,Normal,0.20~0.30
592,Gaylord Perry,Right Handed,76,205,0.131,6,25.0055586991053,Overweight,0.20~0.30
593,Dave Marshall,Left Handed,73,182,0.246,16,24.0622122691558,Normal,0.20~0.30
594,Mickey Hatcher,Right Handed,74,200,0.28,38,25.7321717910585,Overweight,0.20~0.30
595,Roger Repoz,Left Handed,75,190,0.224,82,23.7980273940346,Normal,0.20~0.30
596,Bill Fulton,Right Handed,75,195,0,0,24.424291272825,Normal,0.20~0.30
597,John Orsino,Right Handed,75,215,0.249,40,26.9293467879865,Overweight,0.20~0.30
598,Larry Anderson,Right Handed,75,190,0,0,23.7980273940346,Normal,0.20~0.30
599,Johnny Briggs,Left Handed,73,190,0.253,139,25.1198919293384,Overweight,0.20~0.30
600,Craig Mitchell,Right Handed,75,180,0,0,22.5454996364538,Normal,0.20~0.30
601,Dave Hostetler,Right Handed,76,215,0.229,37,26.2253420502812,Overweight,0.20~0.30
602,Bob Jones,Left Handed,74,195,0.221,20,25.088867496282,Overweight,0.20~0.30
603,Keith Hernandez,Left Handed,72,180,0.296,162,24.4634327652494,Normal,0.20~0.30
604,Alfredo Martinez,Right Handed,75,185,0,0,23.1717635152442,Normal,0.20~0.30
605,Dean Chance,Right Handed,75,200,0.066,0,25.0505551516153,Overweight,0.20~0.30
